;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_ADE_title;Return cores to Aden;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADE_desc;We hold provinces that Aden has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AFG_title;Return cores to Greater Kabulistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AFG_desc;We hold provinces that Greater Kabulistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AIN_title;Return cores to Ainu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AIN_desc;We hold provinces that Ainu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AJU_title;Return cores to Ajuraan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AJU_desc;We hold provinces that Ajuraan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALD_title;Return cores to Algiers;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALD_desc;We hold provinces that Algiers has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALH_title;Return cores to Al-Hasa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALH_desc;We hold provinces that Al-Hasa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALQ_title;Return cores to Algonquin;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALQ_desc;We hold provinces that Algonquin has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARK_title;Return cores to Arakan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARK_desc;We hold provinces that Arakan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARL_title;Return cores to Azerbaijan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARL_desc;We hold provinces that Azerbaijan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARW_title;Return cores to Arawak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARW_desc;We hold provinces that Arawak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASH_title;Return cores to Ashanti;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASH_desc;We hold provinces that Ashanti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASI_title;Return cores to Assiniboine;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASI_desc;We hold provinces that Assiniboine has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASM_title;Return cores to Kamarupa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASM_desc;We hold provinces that Kamarupa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATJ_title;Return cores to Aceh;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ATJ_desc;We hold provinces that Aceh has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATM_title;Return cores to Antemoro;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ATM_desc;We hold provinces that Antemoro has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AVA_title;Return cores to Pagans;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AVA_desc;We hold provinces that Pagans has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BEN_title;Return cores to Benin;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BEN_desc;We hold provinces that Benin has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BIA_title;Return cores to Igbo-Benue;;;;;;;;;;;;;;;;;;;;x,,
