KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-aka-mali-culture-num1;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;Guani-Gur;x
dynamic-al_suryah_arabic-culture-num1;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;x
dynamic-al_suryah_arabic-culture-num2;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;x
dynamic-amhara-culture-num1;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;Hadyan;x
dynamic-amhara-culture-num2;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;Kassalan;x
dynamic-amhara-culture-num3;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;Abyssino-Afar;x
dynamic-andalucian-culture-num1;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;Menorcan;x
dynamic-anglo_saxon-irish-culture-num1;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;Anglo-Hibernian;x
dynamic-anglo_saxon-welsh-culture-num1;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;Brythonic;x
dynamic-assamese-nepali-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
