KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
british_central_america_superregion_culture;Breto-American;britannique mexicaine;Britisch Mexikanisch;;británica mexicano;;;;;;;;;X
british_north_america_superregion_culture;Avalonian;britannique américaine;Britisch Amerikanisch;;británica estadounidense;;;;;;;;;X
british_south_america_superregion_culture;Hy Brazilian;britannique amazonienne;Britisch Amazonisch;;británica amazónico;;;;;;;;;X
east_slavic_north_america_superregion_culture;Alaskan;slave orientale américaine;Ostslawisch Amerikanisch;;eslava oriental estadounidense;;;;;;;;;X
french_central_america_superregion_culture;Mexicaine;française mexicaine;Französisch Mexikanisch;;francesa mexicano;;;;;;;;;X
french_north_america_superregion_culture;Americaine;française américaine;Französisch Amerikanisch;;francesa estadounidense;;;;;;;;;X
french_south_america_superregion_culture;Amazonienne;française amazonienne;Französisch Amazonisch;;francesa amazónico;;;;;;;;;X
germanic_andes_superregion_culture;Silber Ratton;allemande andine;Deutsch Andisch;;germana andino;;;;;;;;;X
germanic_central_america_superregion_culture;Karibik Ratton;allemande mexicaine;Deutsch Mexikanisch;;germana mexicano;;;;;;;;;X
germanic_north_america_superregion_culture;Rattonsburger;allemande américaine;Deutsch Amerikanisch;;germana estadounidense;;;;;;;;;X
germanic_south_america_superregion_culture;Sudlichen Ratton;allemande amazonienne;Deutsch Amazonisch;;germana amazónico;;;;;;;;;X
iberian_andes_superregion_culture;Andino;ibérique andine;Iberisch Andisch;;íbera andino;;;;;;;;;X
iberian_central_america_superregion_culture;Mexican;ibérique mexicaine;Iberisch Mexikanisch;;íbera mexicano;;;;;;;;;X
iberian_north_america_superregion_culture;Norteno;ibérique américaine;Iberisch Amerikanisch;;íbera estadounidense;;;;;;;;;X
latin_central_america_superregion_culture;Latin Mexican;latine mexicaine;Italienisch Mexikanisch;;latina mexicano;;;;;;;;;X
